Difficulty Level,Word
Easy,cat
Easy,dog
Easy,fish
Easy,bird
Easy,apple
Easy,book
Easy,chair
Easy,table
Easy,house
Easy,pen
Easy,i
Easy,have
Medium,dilemma
Medium,hierarchy
Medium,accommodate
Medium,juxtapose
Medium,facilitate
Medium,infrastructure
Medium,psychology
Medium,reconcile
Medium,enigmatic
Medium,substantiate
Hard,antidisestablishmentarianism
Hard,floccinaucinihilipilification
Hard,supercalifragilisticexpialidocious
Hard,pneumoultramicroscopicsilicovolcanoconiosis
Hard,psychoneuroendocrinological
Hard,electroencephalographically
Hard,counterproductiveness
Hard,incomprehensibilities
Hard,triskaidekaphobia
Hard,hippopotomonstrosesquipedaliophobia
Hard,dyslexia
